Title	Complement	POS_1	Definition_1	POS_2	Definition_2	POS_3	Definition_3	POS_4	Definition_4	POS_5	Definition_5	POS_6	Definition_6
Ածանցութիւն	ութեան	s.	cf. Ածանցումն.										
Ածանցումն	ման	s.	derivation, origin, formation.										
Ածելեմ	եցի	va.	to raze.										
Ածելի	լւոյ, լեաւ, լւով	s.	razor.										
Ածեմ	ածի, ա՛ծ	va.	to carry, to fetch, to bring; to strike; — ընդ իւր, to conduct; — ի ներքս, — ի մէջ, to introduce; — ի վերայ or — թափել, to infer; — ի or վերածել, to reduce; — ընդ քարշ, to drag along; — զբոցով, to pass through flame, to enflame, to burn; — զմտաւ, to consider, to think, to reflect; — զբռամբ, to seize, to lay hold of; — զձու, to lay eggs; առանց ընդ բանս ինչ ածելոյ, without making any objection, readily; — զհերս, to raze; — զիրեւ՝ յինքն, to seduce, to entice.										
Ածխագործ	աց	s.	coal-man; charcoal-dealer										
Ածխակէզ առնեմ		sv.	to burn like coal.										
Ածխահանք	նաց	s.	coal-pit, coal-mine.										
Ածխանամ	ացայ	vn.	to become coal.										
Ածխանոց		s.	coal-house.										
Ածխավաճառ		s.	cf. Ածխագործ.										
Ածու	ոյ	s.	nation, people; bed of a garden; parterre.										
Ածուխ	ածխոյ	s.	coal; charcoal.										
Ակահ		adj.	having a knowledge of, well versed.										
Ակաղձեալ		adj.	filled, full; — պտղովք ծառք, trees loaded with fruit.										
Ակաղձուն		adj.	cf. Ակաղձեալ.										
Ակամայ		adv.	involuntarily; by force, with regret, reluctantly; եթէ կամաւ, եթէ ակամայ, willing or unwilling.										
Ակամայ	ից, այց	adj.	involuntary; forced, constrained.										
Ակամայութիւն	ութեան	s.	the state of being involuntary; repugnance, reluctance, constraint, necessity.										
Ական		s.	mine, moat; — հատանել, to mine.										
Ականակապ		adj.	ornamented or inlaid with precious stones, worked in jewels.										
Ականակիտ		adj.	limpid, clear.										
Ականակուռ		adj.	cf. Ականակապ.										
Ականահատ	աց	s.	miner; thief, a body snatcher.										
Ականամոմ	ոյ	s. bot.	propolis.										
Ականայեռ		adj.	cf. Ականակապ.										
Ականատ	ի, ից, աց	s.	trap; — մկանց, rat-trap, mouse-trap.										
Ականատես	ի, աց, ից	adj.	ocular, witnessed by the eye; visible, apparent; — վկայ, eye-witness; — ճշմարտութիւն, an evident truth;	adv.	visibly, seeing with one's own eyes.								
