Title	Complement	POS_1	Definition_1	POS_2	Definition_2	POS_3	Definition_3	POS_4	Definition_4	POS_5	Definition_5	POS_6	Definition_6
Ականատեսութիւն	ութեան	s.	act of seeing with ones own eyes.										
Ականաւոր	աց	adj.	that has eyes; signal, illustrious, famous.										
Ականեմ	եցի	va.	to look at, to see, to cast eyes upon.										
Ականի	նւոյ, նեաց	adj.	that has eyes, that sees.										
Ականողիք	ղեաց	s. pl.	the eyes, the looks.										
Ականջ	ի, աց	s.	ear; — ծովու, cove, creek; — ձկան, mussel; ձգել զականջ ուրուք, to pinch the ear of some one; to rub his ears; խնուլ զականջս, to stop one's ears; ասել՝ խօսել յականջս, to speak in one's ear; ցաւ ականջաց, ear-ache; գէջ ականջաց, ear-wax.										
Ականջալուր		adj.	auricular; that has heard; that is heard; — վկայ auricular witness;	adv.	յականջալուրս, auricularly; յականջալուրս լսել, to hear with one's own ears; յականջալուր գալ, to be heard.								
Ականջաման	աց	s.	pavilion (of the ear).										
Ականջամուտ	մտի, ից	s.	ear-wig.										
Ականջատ		adj.	whose ears are cut.										
Ականջացաւ	ոյ, ի	s.	ear-ache;	adj.	who suffers malady of the ear.								
Ականջեմ	եցի	va.	to listen, to hear, to be attentive.										
Ականջթոռ		s.	lobe of the ear.										
Ականջկրկիտ		s.	ear-pick.										
Ակառանք	անց	s.	garrison; the inhabitants of the citadel.										
Ակառն		s.	citadel, castle, fortress.										
Ակաստան		s.	surety, shelter; կալ յակաստանի, to fortify one's self, to sustain one's self in a position.										
Ակատ	ի	s.	agate; boat, skiff.										
Ակիշ	ակշի	s.	hook, hasp; a sort of iron shovel.										
Ակճիռ		s.	sole of the foot; յակճիռս կալ, յաթիռս եւ յակճիռս կալ, to listen, to look at with admiration, attention, to be all eyes, all ears, in suspens, enchanted.										
Ակմբահոյլ		adj.	assembled in a circle.										
Ակմբիմ	եցայ	vn.	to assemble, to form a circle.										
Ակն	կան, կամբ	s.	eye; sight, look; bud, germ; hope, expectation; opinion, suspicion; յականէ անուանէ, by name, specially, expressly; յական թոթափել, in the twinkling of an eye, instantaneously; — առնուլ, to show a respect of persons, to be partial, cf. Աչառեմ; զակն արկանել, to cast eyes upon, cf. Անտեսեմ; յակն արկանել, to show; to review, to read; ընդ ակամբ ակնարկել, to scowl; — ունել, to hope, to expect, cf. Ակնկալեմ, cf. Յուսամ; — յայտնի, — յանդիման, in presence of, visibly, openly; — յանդիման առնել, to represent, to lay before; առ ական դիպել to see by accident; առ ականէ, ostentatiously; յ— առնուլ, to have an eye to, to watch, to take care of; —ի խոնարհ, quite confused, cf. Ակնկոր; կորովաբիբ —, Argus-eyed, piercing eye; — կառուցեալ հայել, to look fixedly; տալ ակն, cf. Նայիմ, cf. Նկատեմ; ակն դնել, cf. Ցանկամ; ակն ածել, cf. Պատկառեմ, cf. Ակնառեմ, cf. Ամաչեմ, cf. Խնամեմ;										
Ակն	ական, կանք	s.	precious stone, jewel, gem; pearl; cameo; — բազմագունի, cf. Բազմագունի; — վանի, cf. Վանի.										
Ակն	ական, կունք	s.	source, origin; water-spout, spring; hole, stitch; ring, link; — արեւու՝ լուսոյ՝ տունջեան, day-star, the sun, cf. Արեգակն; — գերեզմանի, grave, tomb; — տապարի, the orifice of the hatchet, axe; ակունք լուսարձակք, glass.										
Ակնաբոյժ	բուժի, ժից	s.	oculist.										
Ակնագործ	աց	s.	jeweller, lapidary, worker of precious stones.										
Ակնագործութիւն	ութեան	s.	jeweller's trade, jewellery.										
Ակնախտիղ		adj.	cf. Ակնախտիտ.										
Ակնախտիտ		adj.	dazzling.										
Ակնածեմ	եցի	vn.	to respect, to reverence, to esteem highly; to fear; to take care of, to super-intend.										
Ակն ածեմ		vn.	cf. Ակնածեմ.										
Ակնածեցուցանեմ	ուցի	va.	to inspire respect.										
Ակնածու	ի	adj.	respectful; careful.										
Ակնածութիւն	ութեան	s.	respect, consideration; fear, constraint, circumspection; care, superintendence.										
Ակնակապիճք	պճաց	s. pl.	socket of the eye; bezel of a ring in which a precious stone is set.										
Ակնակառոյց		adj.	cf. Ակնկառոյց.										
Ակնահաճոյ		adj.	cf. Ակնապարար.										
Ակնապարար		adj.	attractive; charming; delightful.										
Ակնահարեմ	եցի	va.	cf. Ակնհարեմ.										
Ակնահարիմ	եցայ	vn.	cf. Ակնհարիմ.										
Ակնառեմ	եցի	va.	cf. Աչառեմ.										
Ակնառու	աց	adj.	that pays respect to persons, partial.										
Ակնառութիւն	ութեան	s.	respect of persons, partiality.										
Ակնավճիտ		adj.	cf. Ականակիտ.										
Ակնատ	ի, ից, աց	s.	cf. Ականատ.										
Ակնարկեմ	եցի	vn.	to make signs with the eyes; to indicate, to show, to mark, to denote, to signify; to regard, to see, to revise; to concern, to belong to; to permit; — ընդ ակամբ, to scowl.										
Ակնարկի առնեմ		sv.	to make signs with the eyes, to indicate; to laugh at, to make fun of, to mock at.										
Ակնարկութիւն	ութեան	s.	sign, mark; meaning, signification; permission given with a sign.										
Ակներեւ		adj.	evident, clear, visible, palpable;	adv.	evidently, visibly, in presence of.								
Ակնթարթ	ի	s.	wink; twinkling.										
Ակնկալեմ	եցի	va.	expect, to hope.										
Ակնկալիք	լեաց	s.	cf. Ակնկալութիւն.										
Ակնկալու		adj.	hoper, expecter.										
Ակնկալութիւն	ութեան	s.	expectation, hope.										
Ակնկառոյց		adj.	that looks attentively; — լինել, to regard with attention or pleasure.										
Ակնկոր		adj.	ashamed, confounded; sad.										
Ակնկորիմ	եցայ	vn.	to be confounded or ashamed.										
Ակնկորութիւն	ութեան	s.	consternation, shame.										
Ակնհար		adj.	fascinated, enchanted;	s.	—, առ —, scare-crow, bug-bear.								
Ակնհարեմ	եցի	va.	to fascinate.										
Ակնհարիմ	եցայ	vn.	to be fascinated.										
Ակն յայտնի		adv.	cf. Ակն.										
Ակն յանդիման		adv.	cf. Ակն.										
Ակնոց	աց	s.	spectacles; spy-glass; ակնագործ, spectacles-maker.										
Ակն ունիմ	ակն կալայ	vn.	cf. Ակն.										
Ակնջցաւութիւն	ութեան	s.	ear-ache.										
Ակն վանի		s.	cf. Վանի ակն.										
Ակութ		s.	hearth, fire side.										
Ակումբ	ակմբի, ից	s.	circle, assembly, company; banquet, feast; mattress, canopy-bed, sofa; — առնուլ՝ բոլորել, to assemble, to sit in a circle; to feast together.										
Ակքան		s. bot.	thistle.										
Ակօս	ից, աց	s.	furrow; — ձգել, to make a furrow, to plough.										
Ակօսաբեկ		adj.	furrowed.										
Ակօսաձիգ		adj.	that ploughs.										
Ակօսեմ	եցի	va.	to plough.										
Ա՜հ		int.	oh! ha!										
Ահ	ի, իւ, ահք, ից, իւք	s.	fear, dread, fright, terror; — արկանել, to frighten, to terrify, to intimidate; — յահի լինել՝ զահի հարկանիլ, to fear, to be seized with alarm;	adv.	առ ահի, for fear, lest;	adv.	ահ ընդ ահ, with fear, with a timid air.						
Ահա		adv.	behold!										
Ահա աւադիկ	Ահա աւանիկ, Ահա աւասիկ	adv.	behold here, there, yonder.										
Ահաբեկ		adj.	terrified, dismayed, thunderstruck; — առնել, to terrify, to frighten, to dismay; — լինել, to be frightened or dismayed.										
Ահաբեկեմ	եցի	va.	"cf. <a href=""./?s=Ահաբեկ"">Ահաբեկ առնել</a>."										
Ահաբեկիմ	եցայ	vn.	"cf. <a href=""./?s=Ահաբեկ"">Ահաբեկ լինել</a>."										
Ահաբեկութիւն	ութեան	s.	dismay, fear, fright, terror.										
Ահագին	գնի, ից	adj.	terrible, alarming, frightful; horrible, hideous, monstrous.										
Ահագինս	Ահագին իմն, Ահագնագոյնս	adv.	terribly, frightfully, horribly, atrociously; hideously.										
Ահագնալուր		adj.	frightful, terrible to hear.										
Ահագնատեսիլ		adj.	frightful, shocking to the sight; horrible, hideous.										
Ահագնութիւն	ութեան	s.	enormity, atrocity; dreadfulness, hideousness, terribleness, tearfulness.										
Ահապարանոց		adj.	cf. Ահիպարանոց.										
Ահարկեմ	եցի, կեալ	va.	to terrify, to affright.										
Ահարկու	ի, աց	adj.	frightful, horrible, awful, terrible.										
Ահարկութիւն	ութեան	s.	terror, dismay, affright, intimidation.										
Ահացուցանեմ	ուցի	va.	to terrify, to intimidate.										
Ահաւադիկ		adv.	behold here, there or yonder.										
Ահաւանիկ			cf. Ահաւադիկ.										
Ահաւասիկ			cf. Ահաւադիկ.										
Ահաւոր	աց	adj.	frightful, alarming, terrible.										
Ահաւորագոչ		adj.	cf. Ահեղագոչ.										
Ահաւորալուր		adj.	cf. Ահագնալուր.										
Ահաւորանամ	ացայ	vn.	to be terrible or frightful.										
Ահաւորապէս		adv.	horribly, fearfully, dreadfully.										
Ահաւորատես		adj.	formidable aspect.										
Ահաւորափայլ		adj.	that shines in a frightful manner.										
Ահաւորութիւն	ութեան	s.	enormity; terribleness, frightfulness; majesty, grandeur.										
Ահափետ	փետք	adj. s.	cf. Ահաբեկ; cf. Ահաբեկութիւն; — առնեմ, cf. Ահաբեկեմ.										
Ահեակ	եկի, եկաց	adj.	left, on the left side;	s.	the left hand, the left; յաջմէ եւ յահեկէ, right and left, on both sides.								
Ահեկագործ		adj.	left-handed.										
Ահեկակողմն		s.	left, left side.										
Ահեկան	ի	adj.	that is to the left;	s.	the ninth ancient month of the Armenians; cf. Ամիս.								
Ահեկեայ	եայք, եաց	adj. s.	that who is to the left.										
Ահեկին	ինք	adj. s.	cf. Ահեկեայ.										
Ահեղ	ի, ից	adj.	formidable, terrible.										
Ահեղաբար		adv.	in a formidable manner, terribly.										
Ահեղագոչ		adj.	roaring terribly, making an awful noise, loud.										
Ահեղակերպ		adj.	wonderful, prodigious, formidable, awful.										
Ահեղահրաչ			cf. Ահեղակերպ.										
Ահեմ	եցի	va.	to terrify, to intimidate.										
Ահընկէց		adj.	frightful, horrible, terrible.										
Ահիպարանոց		adj.	that carries its neck proudly, spirited (applied to horses).										
Ահուր		adj.	cf. Յահուր.										
Աղ	ի, ից, ոց	s.	salt; — ուխտի, ուխատզի, — կնքեալ, sign of true friendship; — եւ հաց, commensality, love; — առնուլ, — եւ հաց ուտել, to eat in company, to be social, to be convivial.										
Աղաբողոն	ի, աւ	s.	great coat, surtout, cloak, mantle, gown.										
Աղագ	ի, աւ	s.	reason, cause, account, sake.										
Աղագաւ		adv.	by reason of; in reason; է՞ր —, why ? for what reason ?										
Աղախարշանք	նաց	s.	vexation, grief.										
Աղախին	խնոյ, խնով, աւ, նայք, նայց, նանց, նաց, նովք, նեայք, նեայց, նեօք	s.	maid-servant, housekeeper; female slave; nursery-maid, child's maid.										
Աղախնածին		adj.	born of a female slave or maid-servant.										
Աղախնորդի		s.	son of a female slave or maid-servant.										
Աղախնութիւն	ութեան	s.	the condition of a female slave or maid-servant, domesticity, menial condition.										
Աղածրի		adj.	tender, delicate, young.										
Աղածք		s. pl.	salt food; the action of salting.										
Աղակատանք		s.	debauch, debauchery; excess; յաղակատանս հասանել, to fall into debauchery.										
Աղաղ		s.	the action of tanning; յաղաղգնել, to tan.										
Աղաղակ	ի, աւ	s.	cry, scream, clamour, uproar, alarm, racket, noise, shout; scolding; voice; exclamation; — առնել՝ բառնալ՝ դնել՝ հարկանել՝ տալ, to cry, to make a noise, to alarm, cf. Աղաղակեմ.										
